 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
16,Iman Shumpert,Cleveland Cavaliers,27,5,1,4,13.3,3.6,0.8,3.4,23.5,0.4,1.8,22.2,1.6,2.0,80.0,0.2,1.8,2.0,0.8,0.4,0.6,0.0,2.0,8.6,0.0,0.0,-1.8,2017
17,Zaza Pachulia,Golden State Warriors,33,5,4,1,13.2,3.2,1.4,2.6,53.8,0.0,0.0,0.0,0.4,1.0,40.0,1.8,1.0,2.8,0.4,1.6,0.4,0.0,2.8,6.8,0.0,0.0,-0.8,2017
18,Dahntay Jones,Cleveland Cavaliers,36,3,1,2,3.5,3.0,0.7,1.0,66.7,0.3,0.7,50.0,1.3,1.3,100,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,-0.3,2017
19,JaVale McGee,Golden State Warriors,29,4,3,1,5.6,2.8,1.0,1.5,66.7,0.0,0.0,0.0,0.8,1.0,75.0,1.8,0.8,2.5,0.8,0.3,0.0,0.5,1.8,8.1,0.0,0.0,1.0,2017
20,Derrick Williams,Cleveland Cavaliers,26,3,1,2,3.4,2.3,0.7,2.0,33.3,0.3,0.7,50.0,0.7,0.7,100,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,3.2,0.0,0.0,-0.3,2017
21,Patrick McCaw,Golden State Warriors,21,5,4,1,6.8,2.2,0.6,2.2,27.3,0.2,1.0,20.0,0.8,0.8,100,0.8,1.2,2.0,0.4,0.2,0.2,0.0,0.4,5.6,0.0,0.0,0.0,2017
22,Channing Frye,Cleveland Cavaliers,34,1,0,1,11.2,2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,2017
23,Deron Williams,Cleveland Cavaliers,33,5,1,4,12.2,1.0,0.4,3.2,12.5,0.2,1.8,11.1,0.0,0.0,0.0,0.2,1.4,1.6,1.2,1.0,0.4,0.0,1.6,4.9,0.0,0.0,-1.4,2017
23,James Michael McAdoo,Golden State Warriors,24,4,3,1,2.8,1.0,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,0.3,0.0,0.5,2.4,0.0,0.0,-0.5,2017
25,Matt Barnes,Golden State Warriors,37,5,4,1,1.8,0.6,0.2,0.6,33.3,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0,0.0,0.2,1.2,0.0,0.0,-1.0,2017
26,James Jones,Cleveland Cavaliers,36,3,1,2,2.8,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.0,2017
1,LeBron James,Cleveland Cavaliers,31,7,4,3,41.7,29.7,11.7,23.7,49.4,1.9,5.0,37.1,4.4,6.1,72.1,2.4,8.9,11.3,8.9,4.4,2.6,2.3,2.3,66.7,6.0,1.0,3.7,2016
2,Kyrie Irving,Cleveland Cavaliers,24,7,4,3,39.0,27.1,10.3,22.0,46.8,2.1,5.3,40.5,4.4,4.7,93.9,1.1,2.7,3.9,3.9,2.6,2.1,0.7,2.6,43.6,0.0,0.0,4.7,2016
3,Stephen Curry,Golden State Warriors,28,7,3,4,35.1,22.6,7.1,17.7,40.3,4.6,11.4,40.0,3.7,4.0,92.9,1.1,3.7,4.9,3.7,4.3,0.9,0.7,3.6,34.4,0.0,0.0,-1.1,2016
4,Klay Thompson,Golden State Warriors,26,7,3,4,35.3,19.6,6.7,15.7,42.7,3.0,8.6,35.0,3.1,4.0,78.6,0.6,2.4,3.0,1.9,2.1,1.0,0.6,1.9,28.5,0.0,0.0,-6.1,2016
5,Draymond Green,Golden State Warriors,26,6,3,3,40.0,16.5,5.7,11.7,48.6,2.2,5.3,40.6,3.0,3.8,78.3,0.8,9.5,10.3,6.3,2.0,1.7,1.0,3.2,44.4,2.0,0.0,3.8,2016
6,JR Smith,Cleveland Cavaliers,30,7,4,3,37.3,10.6,3.7,9.3,40.0,2.3,6.4,35.6,0.9,1.3,66.7,0.3,2.4,2.7,1.6,0.7,1.4,0.3,3.9,20.6,0.0,0.0,3.7,2016
7,Tristan Thompson,Cleveland Cavaliers,25,7,4,3,32.3,10.3,4.0,6.3,63.6,0.0,0.0,0.0,2.3,4.3,53.3,3.9,6.3,10.1,0.7,0.4,0.3,0.9,3.0,26.5,3.0,0.0,5.7,2016
8,Harrison Barnes,Golden State Warriors,24,7,3,4,31.7,9.3,3.6,10.1,35.2,1.3,4.1,31.0,0.9,1.4,60.0,0.9,3.6,4.4,1.4,0.6,0.7,0.4,1.6,19.6,0.0,0.0,-4.6,2016
9,Andre Iguodala,Golden State Warriors,32,7,3,4,34.1,9.1,3.9,8.3,46.6,1.0,3.3,30.4,0.4,1.3,33.3,2.3,4.0,6.3,4.1,1.1,0.9,0.7,1.4,26.5,1.0,0.0,2.7,2016
10,Kevin Love,Cleveland Cavaliers,27,6,3,3,26.3,8.5,2.8,7.8,36.2,0.8,3.2,26.3,2.0,2.8,70.6,1.3,5.5,6.8,1.3,1.5,0.7,0.3,2.0,20.2,1.0,0.0,1.8,2016
11,Shaun Livingston,Golden State Warriors,30,7,3,4,21.1,8.3,3.3,6.4,51.1,0.0,0.1,0.0,1.7,2.0,85.7,0.7,2.7,3.4,2.9,1.3,0.3,0.3,2.0,17.1,0.0,0.0,1.9,2016
12,Leandro Barbosa,Golden State Warriors,33,6,2,4,13.1,8.2,3.0,4.7,64.3,0.8,1.7,50.0,1.3,1.8,72.7,0.3,0.7,1.0,0.8,0.5,0.5,0.2,1.5,12.1,0.0,0.0,6.5,2016
13,Richard Jefferson,Cleveland Cavaliers,36,7,4,3,24.0,5.7,2.3,4.4,51.6,0.1,0.9,16.7,1.0,1.6,63.6,1.7,3.6,5.3,0.4,1.1,1.3,0.1,2.3,15.8,0.0,0.0,-0.6,2016
14,Jordan McRae,Cleveland Cavaliers,25,1,1,0,3.0,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,8.0,2016
15,Ian Clark,Golden State Warriors,25,4,2,2,4.8,3.3,1.3,2.0,62.5,0.8,1.3,60.0,0.0,0.0,0.0,0.3,0.5,0.8,0.5,0.8,0.0,0.0,0.5,4.2,0.0,0.0,0.3,2016
16,Andrew Bogut,Golden State Warriors,31,5,3,2,12.0,3.2,1.6,3.4,47.1,0.0,0.2,0.0,0.0,0.0,0.0,1.8,1.2,3.0,0.6,1.0,0.4,2.0,2.6,13.9,0.0,0.0,-5.0,2016
17,Iman Shumpert,Cleveland Cavaliers,26,7,4,3,18.3,3.0,1.0,3.3,30.4,0.6,2.1,26.7,0.4,0.4,100,0.4,1.1,1.6,0.1,1.0,0.1,0.3,1.4,5.4,0.0,0.0,-6.1,2016
18,Matthew Dellavedova,Cleveland Cavaliers,25,6,3,3,7.6,2.7,0.8,3.2,26.3,0.2,1.0,16.7,0.8,1.0,83.3,0.3,0.2,0.5,1.0,0.5,0.0,0.0,1.2,4.3,0.0,0.0,-9.2,2016
19,Festus Ezeli,Golden State Warriors,26,7,3,4,8.6,2.0,0.9,2.9,30.0,0.0,0.0,0.0,0.3,0.6,50.0,1.0,0.9,1.9,0.4,0.3,0.1,0.1,1.4,5.4,0.0,0.0,-3.6,2016
19,Marreese Speights,Golden State Warriors,28,7,3,4,4.7,2.0,0.6,2.6,22.2,0.6,1.4,40.0,0.3,0.3,100,0.4,0.9,1.3,0.3,0.3,0.1,0.3,0.9,5.0,0.0,0.0,0.9,2016
21,Mo Williams,Cleveland Cavaliers,33,6,4,2,4.8,1.5,0.7,2.0,33.3,0.2,0.8,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,0.5,0.0,0.5,3.0,0.0,0.0,-1.5,2016
22,Timofey Mozgov,Cleveland Cavaliers,29,5,3,2,5.0,1.4,0.4,1.2,33.3,0.0,0.0,0.0,0.6,0.8,75.0,0.6,1.0,1.6,0.0,0.8,0.6,0.2,1.6,4.9,0.0,0.0,-1.6,2016
23,Dahntay Jones,Cleveland Cavaliers,35,6,3,3,3.0,1.3,0.3,0.7,50.0,0.0,0.0,0.0,0.7,0.8,80.0,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.3,2.2,0.0,0.0,-0.5,2016
23,James Michael McAdoo,Golden State Warriors,23,3,1,2,6.1,1.3,0.7,0.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.3,0.0,0.0,0.0,1.7,3.4,0.0,0.0,-1.3,2016
25,Anderson Varejao,Golden State Warriors,33,6,2,4,6.9,1.2,0.0,0.7,0.0,0.0,0.0,0.0,1.2,2.3,50.0,1.0,0.3,1.3,1.0,0.3,0.2,0.0,1.8,4.4,0.0,0.0,0.8,2016
26,Channing Frye,Cleveland Cavaliers,33,4,1,3,8.3,0.5,0.0,0.8,0.0,0.0,0.3,0.0,0.5,0.5,100,0.0,0.8,0.8,0.0,0.0,0.0,0.5,1.3,2.9,0.0,0.0,0.8,2016
27,Brandon Rush,Golden State Warriors,30,5,2,3,5.5,0.2,0.0,0.6,0.0,0.0,0.2,0.0,0.2,0.4,50.0,0.0,1.0,1.0,0.0,0.2,0.4,0.2,0.4,3.0,0.0,0.0,2.2,2016
27,James Jones,Cleveland Cavaliers,35,5,3,2,4.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.8,25.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.4,1.3,0.0,0.0,-1.0,2016
