 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
6,Memphis Grizzlies,6,2,4,.333,48.0,89.8,34.5,83.3,41.4,4.2,15.3,27.2,16.7,20.5,81.3,11.3,31.2,42.5,21.7,13.3,9.8,2.3,6.0,18.8,20.2,-8.0,2015
6,Washington Wizards,6,2,4,.333,48.0,95.0,35.8,86.2,41.6,8.5,22.7,37.5,14.8,20.5,72.4,12.0,34.5,46.5,21.0,14.5,7.5,4.5,6.5,19.7,19.8,-2.8,2015
1,Miami Heat,5,4,1,.800,48.0,97.8,34.8,70.0,49.7,8.8,24.8,35.5,19.4,23.4,82.9,5.8,27.6,33.4,16.8,9.6,7.0,5.4,1.8,18.0,19.8,5.4,2014
1,San Antonio Spurs,5,4,1,.800,48.0,108.8,43.2,88.6,48.8,7.6,19.2,39.6,14.8,19.8,74.7,9.8,34.2,44.0,21.6,9.4,10.0,3.4,2.2,20.0,19.8,13.4,2014
3,Indiana Pacers,6,4,2,.667,48.0,89.0,32.7,74.8,43.7,6.2,15.2,40.7,17.5,24.2,72.4,5.3,30.8,36.2,18.3,12.2,7.2,4.2,4.8,20.5,22.3,2.2,2014
3,Oklahoma City Thunder,6,4,2,.667,48.0,107.2,37.7,79.2,47.6,7.7,22.3,34.3,24.2,29.3,82.4,10.5,35.0,45.5,20.3,15.3,5.7,5.0,3.5,22.7,25.8,0.8,2014
5,LA Clippers,6,2,4,.333,48.0,106.3,40.2,89.0,45.1,8.7,25.2,34.4,17.3,24.5,70.7,11.3,27.0,38.3,24.0,10.7,8.5,3.5,5.0,25.8,22.7,-0.8,2014
5,Washington Wizards,6,2,4,.333,48.0,86.8,33.8,79.5,42.6,5.2,17.3,29.8,14.0,20.3,68.9,12.0,34.5,46.5,18.8,14.8,6.8,4.8,4.2,22.3,20.5,-2.2,2014
7,Brooklyn Nets,5,1,4,.200,48.0,92.4,35.0,75.2,46.5,9.2,23.4,39.3,13.2,18.2,72.5,10.8,28.0,38.8,18.4,13.0,4.8,1.8,5.4,19.8,18.0,-5.4,2014
7,Portland Trail Blazers,5,1,4,.200,48.0,95.4,36.6,87.6,41.8,6.2,19.4,32.0,16.0,20.4,78.4,11.2,34.8,46.0,16.4,16.2,4.2,2.2,3.4,19.8,20.0,-13.4,2014
1,Memphis Grizzlies,5,4,1,.800,49.0,93.6,33.4,82.4,40.5,4.8,15.8,30.4,22.0,28.4,77.5,10.0,33.0,43.0,17.4,10.4,7.8,4.2,6.6,20.8,25.2,4.0,2013
1,Miami Heat,5,4,1,.800,48.0,97.4,34.6,71.2,48.6,7.2,20.2,35.6,21.0,27.6,76.1,7.4,28.6,36.0,22.8,13.0,8.0,6.2,3.0,23.0,23.4,13.2,2013
3,Indiana Pacers,6,4,2,.667,48.0,89.5,30.8,72.3,42.6,7.3,23.3,31.4,20.5,29.3,69.9,12.5,32.8,45.3,16.7,16.3,4.7,5.3,4.2,19.0,26.2,0.0,2013
3,San Antonio Spurs,6,4,2,.667,50.5,102.0,37.8,86.0,44.0,8.0,22.3,35.8,18.3,25.0,73.3,11.2,33.7,44.8,22.5,11.8,8.2,4.2,3.2,20.7,24.0,3.8,2013
5,Golden State Warriors,6,2,4,.333,50.5,98.2,37.8,87.5,43.2,7.5,20.3,36.9,15.0,21.8,68.7,13.0,36.0,49.0,19.5,14.3,6.3,3.2,4.2,24.0,20.7,-3.8,2013
5,New York Knicks,6,2,4,.333,48.0,89.5,33.5,81.8,40.9,8.0,22.7,35.3,14.5,17.8,81.3,10.8,25.8,36.7,15.2,10.3,7.3,4.2,5.3,26.2,19.0,0.0,2013
7,Chicago Bulls,5,1,4,.200,48.0,84.2,29.0,74.6,38.9,6.6,19.8,33.3,19.6,26.2,74.8,13.2,26.2,39.4,16.8,15.8,7.0,3.0,6.2,23.4,23.0,-13.2,2013
7,Oklahoma City Thunder,5,1,4,.200,49.0,89.6,32.0,80.4,39.8,6.8,20.4,33.3,18.8,22.8,82.5,10.0,33.4,43.4,15.6,14.6,3.8,6.6,4.2,25.2,20.8,-4.0,2013
1,San Antonio Spurs,4,4,0,1.000,48.0,102.8,38.5,76.8,50.2,9.5,21.8,43.7,16.3,22.5,72.2,8.0,32.8,40.8,26.8,14.5,7.5,5.3,7.3,18.5,21.5,11.5,2012
2,Oklahoma City Thunder,5,4,1,.800,48.0,100.2,37.2,80.4,46.3,5.2,16.0,32.5,20.6,24.6,83.7,10.4,30.4,40.8,16.8,9.0,8.8,8.2,5.4,22.6,21.0,9.4,2012
3,Miami Heat,6,4,2,.667,48.0,94.3,35.2,77.2,45.6,4.3,15.0,28.9,19.7,27.0,72.8,11.0,29.5,40.5,15.3,12.8,7.5,6.5,4.8,21.5,24.5,6.5,2012
4,Boston Celtics,7,4,3,.571,48.0,89.1,33.1,75.6,43.9,4.4,16.6,26.7,18.4,21.9,84.3,7.6,33.3,40.9,21.9,14.3,8.1,5.4,4.4,21.4,18.6,3.7,2012
5,Philadelphia 76ers,7,3,4,.429,48.0,85.4,32.4,78.3,41.4,4.6,12.9,35.6,16.0,23.3,68.7,11.6,30.7,42.3,19.0,13.0,7.7,4.4,5.4,18.6,21.4,-3.7,2012
6,Indiana Pacers,6,2,4,.333,48.0,87.8,31.5,77.5,40.6,5.7,17.7,32.1,19.2,24.8,77.2,11.7,30.0,41.7,16.3,16.0,6.5,4.8,6.5,24.5,21.5,-6.5,2012
7,Los Angeles Lakers,5,1,4,.200,48.0,90.8,32.6,78.0,41.8,4.0,14.2,28.2,21.6,25.2,85.7,11.4,29.8,41.2,15.2,13.2,5.6,5.4,8.2,21.0,22.6,-9.4,2012
8,LA Clippers,4,0,4,.000,48.0,91.3,36.5,78.0,46.8,6.3,14.3,43.9,12.0,18.3,65.8,7.8,28.8,36.5,19.0,14.0,9.8,7.3,5.3,21.5,18.5,-11.5,2012
1,Dallas Mavericks,4,4,0,1.000,48.0,102.3,37.0,75.0,49.3,12.3,26.5,46.2,16.0,20.0,80.0,7.5,32.0,39.5,26.0,14.0,6.8,4.8,4.0,18.5,19.8,14.0,2011
2,Miami Heat,5,4,1,.800,49.0,95.4,32.8,72.8,45.1,6.2,18.0,34.4,23.6,30.6,77.1,9.4,31.0,40.4,15.0,14.6,7.8,6.2,3.6,20.4,22.6,4.4,2011
3,Chicago Bulls,6,4,2,.667,48.0,92.7,35.8,78.8,45.5,5.5,17.2,32.0,15.5,19.5,79.5,11.7,30.2,41.8,22.0,12.0,6.3,6.7,6.2,18.5,16.5,7.0,2011
4,Oklahoma City Thunder,7,4,3,.571,50.9,103.6,36.4,81.0,45.0,6.7,20.9,32.2,24.0,29.4,81.6,13.1,32.3,45.4,18.6,16.1,7.1,7.6,7.0,25.6,22.9,4.0,2011
5,Memphis Grizzlies,7,3,4,.429,50.9,99.6,36.0,88.3,40.8,4.0,13.0,30.8,23.6,30.0,78.6,15.0,28.7,43.7,18.4,12.6,8.6,7.0,7.6,22.9,25.6,-4.0,2011
6,Atlanta Hawks,6,2,4,.333,48.0,85.7,33.3,75.2,44.3,2.8,11.0,25.8,16.2,21.8,74.0,8.7,27.2,35.8,18.2,11.8,6.3,6.2,6.7,16.5,18.5,-7.0,2011
7,Boston Celtics,5,1,4,.200,49.0,91.0,33.2,73.0,45.5,7.8,16.8,46.4,16.8,21.2,79.2,6.8,28.0,34.8,18.6,14.8,7.0,3.6,6.2,22.6,20.4,-4.4,2011
8,Los Angeles Lakers,4,0,4,.000,48.0,88.3,35.0,82.8,42.3,3.8,19.0,19.7,14.5,20.0,72.5,13.0,28.0,41.0,18.5,12.0,8.5,4.0,4.8,19.8,18.5,-14.0,2011
