 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
10,Atlanta Hawks,6,2,4,.333,48.0,89.3,32.7,77.3,42.2,6.2,18.7,33.0,17.8,26.2,68.2,8.3,30.0,38.3,19.2,12.2,7.3,3.8,4.8,24.2,23.8,-5.2,2013
10,Boston Celtics,6,2,4,.333,48.8,82.3,28.5,69.0,41.3,6.8,20.7,33.1,18.5,21.5,86.0,5.2,33.8,39.0,16.8,17.3,5.5,3.0,4.3,18.8,21.3,-5.3,2013
10,Denver Nuggets,6,2,4,.333,48.0,103.0,37.2,84.8,43.8,7.0,22.5,31.1,21.7,29.7,73.0,11.8,26.8,38.7,21.2,14.5,9.0,2.8,6.7,23.2,23.5,-4.2,2013
10,Houston Rockets,6,2,4,.333,48.0,100.0,34.3,81.0,42.4,11.7,33.7,34.7,19.7,27.7,71.1,10.8,32.7,43.5,18.0,15.8,5.8,5.5,7.3,23.2,24.7,-5.8,2013
10,LA Clippers,6,2,4,.333,48.0,94.7,35.2,75.3,46.7,5.8,19.2,30.4,18.5,23.7,78.2,8.8,28.3,37.2,18.0,13.3,5.2,5.7,4.2,27.8,23.8,-5.5,2013
15,Los Angeles Lakers,4,0,4,.000,48.0,85.3,34.5,78.0,44.2,5.0,18.5,27.0,11.3,18.5,60.8,8.5,31.5,40.0,18.5,16.5,5.8,5.3,5.0,17.5,18.0,-18.8,2013
15,Milwaukee Bucks,4,0,4,.000,48.0,85.3,33.3,76.8,43.3,6.0,23.0,26.1,12.8,20.3,63.0,8.8,26.0,34.8,19.8,16.3,10.0,2.5,4.3,19.8,20.3,-14.8,2013
1,Oklahoma City Thunder,4,4,0,1.000,48.0,99.8,35.8,76.5,46.7,8.0,21.0,38.1,20.3,24.0,84.4,7.3,32.0,39.3,17.5,12.8,8.8,7.3,3.5,24.3,20.8,6.5,2012
1,San Antonio Spurs,4,4,0,1.000,48.0,102.3,38.5,80.0,48.1,8.3,20.3,40.7,17.0,22.5,75.6,7.8,34.0,41.8,21.5,11.8,7.3,5.5,6.8,19.8,20.3,16.0,2012
3,Indiana Pacers,5,4,1,.800,49.0,94.6,36.4,81.8,44.5,5.8,18.2,31.9,16.0,20.8,76.9,13.2,33.6,46.8,16.2,14.0,7.4,6.2,4.4,19.0,19.0,10.8,2012
3,Miami Heat,5,4,1,.800,48.0,96.8,33.0,72.4,45.6,8.0,21.8,36.7,22.8,30.2,75.5,9.8,28.8,38.6,19.0,13.6,9.2,3.8,2.2,19.8,24.2,14.0,2012
5,Boston Celtics,6,4,2,.667,48.8,86.8,33.2,76.7,43.3,4.3,14.7,29.5,16.2,20.2,80.2,7.0,34.2,41.2,19.8,12.8,9.0,6.2,3.3,18.8,19.8,4.7,2012
5,Philadelphia 76ers,6,4,2,.667,48.0,86.0,31.7,77.8,40.7,3.3,13.5,24.7,19.3,25.7,75.3,9.8,31.3,41.2,17.2,9.8,7.5,6.3,6.7,18.8,20.5,1.7,2012
7,LA Clippers,7,4,3,.571,48.7,90.7,33.3,73.7,45.2,6.1,17.6,35.0,18.0,26.9,67.0,9.3,27.7,37.0,16.3,15.1,9.3,6.1,4.9,25.6,23.3,-0.7,2012
7,Los Angeles Lakers,7,4,3,.571,48.0,96.3,37.0,86.9,42.6,6.1,19.4,31.6,16.1,22.6,71.5,16.1,31.3,47.4,21.4,12.0,5.9,9.4,6.9,18.7,21.0,-0.4,2012
9,Denver Nuggets,7,3,4,.429,48.0,96.7,38.4,89.3,43.0,5.3,19.0,27.8,14.6,20.3,71.8,15.4,32.3,47.7,20.9,11.1,7.0,6.9,9.4,21.0,18.7,0.4,2012
9,Memphis Grizzlies,7,3,4,.429,48.7,91.4,32.6,76.3,42.7,3.4,11.9,28.9,22.9,30.7,74.4,13.4,29.3,42.7,16.3,15.4,7.1,4.9,6.1,23.3,25.6,0.7,2012
11,Atlanta Hawks,6,2,4,.333,48.8,82.2,31.8,79.3,40.1,5.8,18.8,31.0,12.7,16.2,78.4,10.0,32.5,42.5,17.5,15.3,5.5,3.3,6.2,19.8,18.8,-4.7,2012
11,Chicago Bulls,6,2,4,.333,48.0,84.3,34.0,80.7,42.1,4.3,12.7,34.2,12.0,18.5,64.9,11.5,35.3,46.8,22.5,14.3,5.2,6.7,6.3,20.5,18.8,-1.7,2012
13,New York Knicks,5,1,4,.200,48.0,82.8,30.6,73.4,41.7,5.0,18.2,27.5,16.6,21.8,76.1,12.4,28.0,40.4,12.6,18.4,6.0,2.2,3.8,24.2,19.8,-14.0,2012
13,Orlando Magic,5,1,4,.200,49.0,83.8,31.0,77.8,39.8,8.4,24.6,34.1,13.4,19.0,70.5,9.8,28.6,38.4,17.2,14.0,6.0,4.4,6.2,19.0,19.0,-10.8,2012
15,Dallas Mavericks,4,0,4,.000,48.0,93.3,31.5,78.0,40.4,8.0,21.5,37.2,22.3,26.8,83.2,10.5,30.0,40.5,15.5,14.5,8.0,3.5,7.3,20.8,24.3,-6.5,2012
15,Utah Jazz,4,0,4,.000,48.0,86.3,32.8,85.8,38.2,2.3,11.3,20.0,18.5,26.3,70.5,16.0,32.5,48.5,16.8,13.5,6.5,6.8,5.5,20.3,19.8,-16.0,2012
1,Boston Celtics,4,4,0,1.000,48.0,99.3,39.0,81.8,47.7,7.0,15.0,46.7,14.3,18.8,76.0,11.5,32.8,44.3,24.0,16.8,7.8,5.0,6.8,21.0,18.8,8.5,2011
2,Chicago Bulls,5,4,1,.800,48.0,97.6,33.4,80.4,41.5,7.4,21.0,35.2,23.4,28.8,81.3,14.8,31.6,46.4,19.8,16.2,8.2,7.6,5.6,22.2,23.0,7.4,2011
2,Miami Heat,5,4,1,.800,48.0,94.0,32.6,76.6,42.6,5.6,19.4,28.9,23.2,28.8,80.6,13.4,33.8,47.2,16.2,11.4,5.4,6.2,3.6,14.8,20.4,7.4,2011
2,Oklahoma City Thunder,5,4,1,.800,48.0,102.2,33.6,80.0,42.0,7.6,22.6,33.6,27.4,34.4,79.7,12.6,35.6,48.2,16.8,13.6,6.0,8.6,3.6,25.0,23.8,4.8,2011
5,Atlanta Hawks,6,4,2,.667,48.0,86.8,32.5,76.5,42.5,6.2,16.8,36.6,15.7,22.0,71.2,9.3,29.2,38.5,18.0,13.0,6.2,3.8,4.0,24.2,21.5,-1.8,2011
5,Dallas Mavericks,6,4,2,.667,48.0,93.3,33.5,73.7,45.5,7.7,20.2,38.0,18.7,24.2,77.2,11.3,28.3,39.7,19.0,12.0,5.2,3.7,5.2,19.5,20.8,5.2,2011
5,Los Angeles Lakers,6,4,2,.667,48.0,96.5,34.5,74.5,46.3,5.5,15.0,36.7,22.0,27.5,80.0,12.3,28.5,40.8,19.2,12.8,5.8,5.8,3.0,21.2,23.7,7.2,2011
5,Memphis Grizzlies,6,4,2,.667,48.8,97.5,37.5,79.0,47.5,3.7,11.0,33.3,18.8,26.0,72.4,9.5,32.8,42.3,19.3,13.7,7.3,4.8,5.8,24.5,21.5,3.2,2011
9,New Orleans Pelicans,6,2,4,.333,48.0,89.3,32.8,71.8,45.7,4.5,14.0,32.1,19.2,25.8,74.2,7.7,25.8,33.5,20.2,12.8,7.2,3.0,5.8,23.7,21.2,-7.2,2011
9,Orlando Magic,6,2,4,.333,48.0,88.7,31.0,75.8,40.9,6.2,23.5,26.2,20.5,27.8,73.7,11.8,30.5,42.3,14.5,12.8,6.5,4.0,3.8,21.5,24.2,1.8,2011
9,Portland Trail Blazers,6,2,4,.333,48.0,88.2,33.2,73.2,45.3,5.0,16.7,30.0,16.8,21.5,78.3,9.2,28.5,37.7,17.0,11.5,5.7,5.2,3.7,20.8,19.5,-5.2,2011
9,San Antonio Spurs,6,2,4,.333,48.8,94.3,33.7,77.2,43.6,5.3,18.2,29.4,21.7,28.5,76.0,10.2,31.5,41.7,17.8,14.3,7.3,5.8,4.8,21.5,24.5,-3.2,2011
13,Denver Nuggets,5,1,4,.200,48.0,97.4,32.6,77.0,42.3,6.8,18.4,37.0,25.4,36.0,70.6,7.4,30.6,38.0,17.6,12.2,6.6,3.6,8.6,23.8,25.0,-4.8,2011
13,Indiana Pacers,5,1,4,.200,48.0,90.2,32.8,80.2,40.9,5.8,15.4,37.7,18.8,24.4,77.0,13.0,25.4,38.4,16.0,15.2,8.2,5.6,7.6,23.0,22.2,-7.4,2011
13,Philadelphia 76ers,5,1,4,.200,48.0,86.6,33.8,81.6,41.4,6.4,16.4,39.0,12.6,17.4,72.4,10.6,30.0,40.6,20.4,10.6,6.4,3.6,6.2,20.4,14.8,-7.4,2011
16,New York Knicks,4,0,4,.000,48.0,90.8,32.0,83.0,38.6,8.3,23.8,34.7,18.5,24.8,74.7,14.5,26.0,40.5,16.8,15.3,6.5,6.8,5.0,18.8,21.0,-8.5,2011
