 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
1,Golden State Warriors,4,4,0,1.000,48.0,119.5,42.3,87.3,48.4,12.5,31.0,40.3,22.5,28.5,78.9,8.0,38.5,46.5,27.3,12.5,8.3,10.3,4.8,18.8,21.8,18.0,2017
3,Houston Rockets,5,4,1,.800,48.0,112.8,38.2,83.8,45.6,9.6,33.8,28.4,26.8,33.6,79.8,10.6,34.8,45.4,16.6,14.8,7.4,5.0,8.0,22.6,22.2,8.6,2017
4,Boston Celtics,6,4,2,.667,48.0,103.3,38.5,84.0,45.8,12.7,37.3,33.9,13.7,18.0,75.9,9.3,29.7,39.0,27.3,12.3,8.2,3.7,5.2,17.2,18.3,6.8,2017
4,San Antonio Spurs,6,4,2,.667,48.8,104.7,37.2,77.2,48.2,9.8,24.0,41.0,20.5,24.8,82.6,9.8,30.2,40.0,16.3,11.3,5.2,3.8,2.5,19.2,22.2,8.3,2017
4,Toronto Raptors,6,4,2,.667,48.0,93.8,32.3,74.0,43.7,8.5,24.2,35.2,20.7,25.7,80.5,7.2,34.7,41.8,18.0,14.3,7.5,4.7,5.0,21.2,21.3,0.7,2017
4,Washington Wizards,6,4,2,.667,48.0,106.7,39.3,86.7,45.4,8.3,26.5,31.4,19.7,24.2,81.4,9.7,31.7,41.3,21.2,13.0,9.2,7.5,3.3,24.8,21.3,1.2,2017
8,Utah Jazz,7,4,3,.571,48.0,98.9,36.1,75.7,47.7,9.7,25.0,38.9,16.9,23.3,72.4,6.6,31.0,37.6,20.1,12.1,7.4,3.1,2.4,20.9,20.3,1.1,2017
9,LA Clippers,7,3,4,.429,48.0,97.7,36.4,77.0,47.3,8.1,23.4,34.8,16.7,24.0,69.6,7.7,30.0,37.7,18.4,12.1,6.3,2.4,3.1,20.3,20.9,-1.1,2017
10,Atlanta Hawks,6,2,4,.333,48.0,105.5,37.5,84.5,44.4,8.3,27.3,30.5,22.2,29.0,76.4,11.3,33.0,44.3,22.3,16.0,6.0,3.3,7.5,21.3,24.8,-1.2,2017
10,Chicago Bulls,6,2,4,.333,48.0,96.5,36.3,82.5,44.0,7.0,23.5,29.8,16.8,19.8,84.9,12.5,34.2,46.7,20.0,15.3,7.2,5.2,3.7,18.3,17.2,-6.8,2017
10,Memphis Grizzlies,6,2,4,.333,48.8,96.3,34.7,77.2,44.9,9.3,24.2,38.6,17.7,20.3,86.9,7.7,27.8,35.5,18.8,11.3,5.2,2.5,3.8,22.2,19.2,-8.3,2017
10,Milwaukee Bucks,6,2,4,.333,48.0,93.2,34.8,78.2,44.6,9.0,21.7,41.5,14.5,20.8,69.6,8.2,29.8,38.0,21.2,13.3,8.2,5.0,4.7,21.3,21.2,-0.7,2017
14,Oklahoma City Thunder,5,1,4,.200,48.0,104.2,38.6,87.4,44.2,8.4,27.0,31.1,18.6,27.0,68.9,12.2,31.4,43.6,19.8,12.8,8.4,8.0,5.0,22.2,22.6,-8.6,2017
15,Indiana Pacers,4,0,4,.000,48.0,108.8,40.5,87.0,46.6,11.3,28.8,39.1,16.5,21.5,76.7,11.8,30.3,42.0,22.5,13.3,8.0,3.8,6.3,22.8,18.3,-4.0,2017
15,Portland Trail Blazers,4,0,4,.000,48.0,101.5,35.5,89.5,39.7,11.0,34.0,32.4,19.5,24.3,80.4,10.0,34.0,44.0,15.8,15.3,7.3,4.8,10.3,21.8,18.8,-18.0,2017
1,Cleveland Cavaliers,4,4,0,1.000,48.0,103.5,38.5,83.5,46.1,14.3,34.5,41.3,12.3,16.8,73.1,10.0,31.0,41.0,22.0,8.5,5.8,2.5,3.3,20.3,19.0,8.5,2016
1,San Antonio Spurs,4,4,0,1.000,48.0,103.0,37.0,76.3,48.5,10.3,21.8,47.1,18.8,22.8,82.4,8.0,34.0,42.0,21.5,13.8,9.8,9.3,4.0,17.5,21.5,22.0,2016
3,Golden State Warriors,5,4,1,.800,48.0,110.0,40.8,84.4,48.3,11.6,28.8,40.3,16.8,25.2,66.7,9.8,33.8,43.6,28.8,14.2,9.2,5.4,4.2,22.2,25.6,18.8,2016
3,Oklahoma City Thunder,5,4,1,.800,48.0,112.0,39.4,82.8,47.6,10.2,28.0,36.4,23.0,29.4,78.2,13.6,33.6,47.2,21.4,13.0,7.6,4.6,2.4,22.4,24.0,18.2,2016
5,Atlanta Hawks,6,4,2,.667,48.8,100.5,37.0,87.2,42.4,9.8,32.0,30.7,16.7,21.3,78.1,8.5,39.0,47.5,22.7,14.8,8.0,8.7,6.5,20.0,22.0,6.7,2016
5,Portland Trail Blazers,6,4,2,.667,48.0,97.3,35.3,86.3,40.9,10.0,29.7,33.7,16.7,23.0,72.5,14.0,36.8,50.8,21.3,13.2,5.7,3.5,4.7,23.8,20.5,-1.0,2016
7,Miami Heat,7,4,3,.571,48.0,99.1,37.9,81.3,46.6,8.3,20.4,40.6,15.1,20.6,73.6,9.4,37.7,47.1,19.1,12.1,4.1,7.1,3.3,21.6,17.4,8.9,2016
7,Toronto Raptors,7,4,3,.571,48.0,92.3,32.4,82.4,39.3,7.1,25.3,28.2,20.3,26.6,76.3,14.7,29.7,44.4,16.1,13.9,7.6,4.6,5.6,21.7,22.3,-1.4,2016
9,Charlotte Hornets,7,3,4,.429,48.0,90.3,31.9,80.4,39.6,5.7,18.6,30.8,20.9,24.9,83.9,7.1,29.7,36.9,13.6,9.4,5.7,3.3,7.1,17.4,21.6,-8.9,2016
9,Indiana Pacers,7,3,4,.429,48.0,93.7,33.0,74.9,44.1,8.1,21.3,38.3,19.6,23.9,82.0,9.1,30.1,39.3,18.1,14.4,7.6,5.6,4.6,22.3,21.7,1.4,2016
11,Boston Celtics,6,2,4,.333,48.8,93.8,34.3,89.5,38.4,8.7,31.5,27.5,16.5,21.0,78.6,10.7,35.3,46.0,21.0,14.7,6.3,6.5,8.7,22.0,20.0,-6.7,2016
